               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 103,            0.036934,            0.017602,           0.0059563,             0.77831,              0.7866,             0.79728,             0.48612,            0.024324,           0.0065178,            0.009362,            0.004951,            0.004951,            0.004951
                 104,            0.036835,            0.017578,           0.0053068,             0.77787,             0.78711,             0.79956,             0.48719,            0.024297,           0.0065084,           0.0093689,           0.0049015,           0.0049015,           0.0049015
                 105,            0.036873,            0.017505,           0.0057654,             0.77782,             0.78773,             0.80015,             0.48786,            0.024265,           0.0064976,           0.0093801,            0.004852,            0.004852,            0.004852
                 106,            0.036747,            0.017623,           0.0055714,             0.77939,              0.7876,             0.80187,             0.48927,            0.024235,           0.0064878,           0.0093801,           0.0048025,           0.0048025,           0.0048025
                 107,            0.036517,            0.017579,             0.00552,             0.78479,             0.78635,             0.80391,             0.49038,            0.024208,           0.0064788,           0.0093804,            0.004753,            0.004753,            0.004753
                 108,            0.036506,             0.01736,           0.0052565,             0.78722,             0.78995,             0.80603,             0.49231,            0.024182,           0.0064679,           0.0093697,           0.0047035,           0.0047035,           0.0047035
                 109,            0.036221,             0.01722,           0.0052888,             0.78659,             0.78949,             0.80564,             0.49327,             0.02415,           0.0064575,           0.0093642,            0.004654,            0.004654,            0.004654
                 110,            0.036512,            0.017241,           0.0053955,              0.7889,             0.78937,             0.80805,             0.49475,            0.024115,           0.0064463,           0.0093567,           0.0046045,           0.0046045,           0.0046045
                 111,            0.036342,            0.017289,           0.0050731,             0.79099,             0.79012,             0.80944,             0.49577,            0.024089,           0.0064356,           0.0093506,            0.004555,            0.004555,            0.004555
                 112,            0.036347,            0.017259,           0.0055819,             0.79708,             0.79059,             0.81106,             0.49673,            0.024068,           0.0064259,            0.009346,           0.0045055,           0.0045055,           0.0045055
                 113,            0.036014,            0.017236,           0.0050896,             0.79817,             0.78955,             0.81193,             0.49749,            0.024042,           0.0064155,           0.0093286,            0.004456,            0.004456,            0.004456
                 114,             0.03595,            0.017117,           0.0049947,             0.79785,             0.78963,             0.81308,              0.4985,             0.02402,           0.0064034,           0.0093261,           0.0044065,           0.0044065,           0.0044065
                 115,            0.035922,            0.017264,           0.0053325,             0.80035,             0.79232,             0.81375,             0.49948,            0.023994,           0.0063922,           0.0093285,            0.004357,            0.004357,            0.004357
                 116,            0.035777,            0.017141,           0.0048474,             0.80303,             0.79146,             0.81498,             0.50135,            0.023972,           0.0063809,           0.0093276,           0.0043075,           0.0043075,           0.0043075
                 117,            0.035913,            0.017109,           0.0051842,             0.80273,             0.79441,             0.81562,               0.502,            0.023949,           0.0063713,           0.0093074,            0.004258,            0.004258,            0.004258
                 118,            0.035822,            0.017057,           0.0048936,              0.8054,             0.79605,             0.81757,             0.50382,             0.02392,           0.0063606,           0.0093051,           0.0042085,           0.0042085,           0.0042085
                 119,            0.035695,             0.01714,           0.0051281,             0.80622,             0.79571,             0.81869,             0.50501,              0.0239,           0.0063501,           0.0093046,            0.004159,            0.004159,            0.004159
                 120,             0.03567,            0.017008,           0.0049888,             0.80848,             0.79529,             0.81972,             0.50567,            0.023869,           0.0063397,           0.0093063,           0.0041095,           0.0041095,           0.0041095
                 121,            0.035243,            0.016993,           0.0045701,             0.81351,             0.79352,             0.82121,             0.50697,            0.023843,           0.0063286,           0.0093045,             0.00406,             0.00406,             0.00406
                 122,            0.035363,            0.016888,           0.0047344,             0.81354,             0.79523,             0.82232,              0.5084,            0.023814,           0.0063181,           0.0093056,           0.0040105,           0.0040105,           0.0040105
                 123,            0.035313,            0.017065,           0.0050624,             0.81474,             0.79792,             0.82364,             0.50961,            0.023777,           0.0063056,            0.009302,            0.003961,            0.003961,            0.003961
                 124,            0.035239,            0.016881,           0.0047909,             0.81667,              0.7997,             0.82455,             0.51153,            0.023744,           0.0062941,           0.0093079,           0.0039115,           0.0039115,           0.0039115
                 125,            0.035015,            0.016786,           0.0047806,             0.81625,             0.80091,             0.82588,             0.51285,            0.023715,           0.0062826,           0.0093117,            0.003862,            0.003862,            0.003862
                 126,            0.035039,            0.016824,           0.0044866,             0.81524,             0.80212,             0.82803,             0.51454,            0.023679,           0.0062712,           0.0093169,           0.0038125,           0.0038125,           0.0038125
                 127,            0.034946,            0.016915,           0.0046872,             0.81416,             0.80411,             0.82938,             0.51562,            0.023652,           0.0062612,           0.0093123,            0.003763,            0.003763,            0.003763
                 128,            0.034953,            0.016854,           0.0047356,             0.81522,             0.80472,             0.83102,             0.51668,            0.023617,           0.0062507,           0.0092947,           0.0037135,           0.0037135,           0.0037135
                 129,            0.034877,            0.016698,           0.0046179,             0.81686,              0.8051,             0.83187,             0.51802,            0.023583,           0.0062396,            0.009282,            0.003664,            0.003664,            0.003664
                 130,             0.03483,            0.016619,           0.0042755,             0.81792,             0.80525,             0.83243,             0.51917,            0.023557,           0.0062285,           0.0092826,           0.0036145,           0.0036145,           0.0036145
                 131,            0.034622,            0.016616,           0.0043537,             0.81798,             0.80574,              0.8337,              0.5205,            0.023525,           0.0062169,           0.0092751,            0.003565,            0.003565,            0.003565
                 132,            0.034707,             0.01663,           0.0041833,             0.81778,             0.80803,             0.83485,             0.52195,            0.023501,            0.006207,           0.0092757,           0.0035155,           0.0035155,           0.0035155
                 133,            0.034565,            0.016614,            0.004443,             0.82036,             0.80765,             0.83577,             0.52322,            0.023473,           0.0061948,           0.0092841,            0.003466,            0.003466,            0.003466
                 134,            0.034594,            0.016425,           0.0041317,             0.81986,             0.80977,             0.83604,             0.52292,            0.023451,           0.0061843,           0.0092778,           0.0034165,           0.0034165,           0.0034165
                 135,            0.034197,            0.016398,           0.0041681,             0.82137,             0.81092,             0.83866,             0.52503,            0.023427,           0.0061735,           0.0092752,            0.003367,            0.003367,            0.003367
